challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:gpu_c1e-5_snap_b8192	raw_sample_top	2	001011011111011101010110	count	202	202			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/gpu_c1e-5_snap_b8192.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:val_b4096_c0.002_snap	raw_sample_top	2	001011111011011011001110	count	197	197			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-03_snap	raw_sample_top	3	001101111110110011110100	count	158	158			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-03_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-04_snap	raw_sample_top	3	001011111110101110110100	count	119	119			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-04_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-4_nosnap	raw_sample_top	3	001011111110101110110100	count	131	131			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-4_nosnap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c2e-3_nosnap	raw_sample_top	3	001011111001111011011010	count	128	128			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c2e-3_nosnap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:gpu_c1e-5_snap_b8192	raw_sample_top	3	001011011111110101011010	count	119	119			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/gpu_c1e-5_snap_b8192.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:val_b4096_c0.002_snap	raw_sample_top	3	001011111001111011011010	count	142	142			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-03_snap	raw_sample_top	4	001111111010111011110100	count	122	122			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-03_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-04_snap	raw_sample_top	4	001011111101111010110100	count	112	112			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-04_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-4_nosnap	raw_sample_top	4	001011111101110010110100	count	103	103			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-4_nosnap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c2e-3_nosnap	raw_sample_top	4	001011101010011011011010	count	121	121			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c2e-3_nosnap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:gpu_c1e-5_snap_b8192	raw_sample_top	4	001011111111010111011010	count	108	108			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/gpu_c1e-5_snap_b8192.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:val_b4096_c0.002_snap	raw_sample_top	4	000111111011011011011010	count	112	112			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-03_snap	raw_sample_top	5	001101101010111011110100	count	99	99			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-03_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-04_snap	raw_sample_top	5	001011111101110010110100	count	107	107			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-04_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-4_nosnap	raw_sample_top	5	000111111110101011110100	count	101	101			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-4_nosnap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c2e-3_nosnap	raw_sample_top	5	001111111011011011011010	count	97	97			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c2e-3_nosnap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:gpu_c1e-5_snap_b8192	raw_sample_top	5	001011101111010111011010	count	105	105			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/gpu_c1e-5_snap_b8192.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:val_b4096_c0.002_snap	raw_sample_top	5	001011110011011011011010	count	99	99			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
28_4	very easy	28	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-28_4:val_b4096_c0.002_snap	raw_sample_top	1	0001110111111101010111011011	count	615	615			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-28_4/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
28_4	very easy	28	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-28_4:val_b4096_c0.002_snap	raw_sample_top	2	0001110111111101000111011011	count	366	366			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-28_4/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
28_4	very easy	28	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-28_4:val_b4096_c0.002_snap	raw_sample_top	3	0001111111111101010111011011	count	147	147			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-28_4/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
28_4	very easy	28	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-28_4:val_b4096_c0.002_snap	raw_sample_top	4	0001111111111101000111011011	count	77	77			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-28_4/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
28_4	very easy	28	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-28_4:val_b4096_c0.002_snap	raw_sample_top	5	0001110110111101010111011011	count	74	74			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-28_4/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
40_7	very easy	40	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-40_7:val_b4096_c0.002_snap	raw_sample_top	1	1000111110101001111011001110000110101110	count	3498	3498			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-40_7/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
40_7	very easy	40	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-40_7:val_b4096_c0.002_snap	raw_sample_top	2	1000111110000001111011001110000110101110	count	188	188			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-40_7/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
40_7	very easy	40	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-40_7:val_b4096_c0.002_snap	raw_sample_top	3	1000111110101001101011001110000110101110	count	66	66			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-40_7/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
40_7	very easy	40	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-40_7:val_b4096_c0.002_snap	raw_sample_top	4	1000111110001001111011001110000110101110	count	62	62			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-40_7/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
40_7	very easy	40	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-40_7:val_b4096_c0.002_snap	raw_sample_top	5	1000111110101001011011001110000110101110	count	39	39			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-40_7/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
48_8	very easy	48	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-48_8:val_b4096_c0.002_snap	raw_sample_top	1	011100101111000101000000101000111100101111111100	count	2852	2852			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-48_8/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
48_8	very easy	48	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-48_8:val_b4096_c0.002_snap	raw_sample_top	2	011100011111000101000000101000111100101111111100	count	257	257			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-48_8/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
48_8	very easy	48	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-48_8:val_b4096_c0.002_snap	raw_sample_top	3	011100101111000101100000101000111100101111111100	count	186	186			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-48_8/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
48_8	very easy	48	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-48_8:val_b4096_c0.002_snap	raw_sample_top	4	011100101110000101000000101000111100101111111100	count	139	139			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-48_8/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
48_8	very easy	48	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-48_8:val_b4096_c0.002_snap	raw_sample_top	5	001100101111000101000000101000111100101111111100	count	117	117			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-48_8/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
